Unnamed: 0,SR684 SR686,SR689,Unnamed: 1,SR697,SR698,SR699,SR700,Uncertainty,BHVO-2g,BHVO-2g GeoREM,BCR-2g,BCR-2g GeoREM
LA-ICP-MS analyses,,,,,,,,,,,,
Major element content (%),,,,,,,,,,,,
SiO2,47.6 48.2,49.0,,49.5,48.4,49.6,49.4,0.3,,,,
TiO2,2.73 2.85,2.56,,2.56,2.80,2.45,2.57,0.03,,,,
Al2O3,12.3 12.6,12.5,,14.3,13.4,12.6,12.8,0.2,,,,
FeOT,11.4 11.2,10.8,,10.4,11.0,10.3,10.7,0.2,,,,
MnO,0.176 0.169,0.171,,0.161,0.171,0.164,0.169,0.003,,,,
MgO,8.71 7.65,8.30,,6.64,7.21,8.18,7.73,0.09,,,,
CaO,13.9 14.2,13.6,,13.3,13.8,13.4,13.5,0.2,,,,
Trace element abundance (ppm),,,,,,,,,,,,
Sc,41.7 43.4,40.0,,32.9,38.5,40.8,40.4,0.9,35.1,33 ± 2,35.7,33 ± 2
V,413 408,387,,370,385,362,371,7.0,303,308 ± 19,414,425 ± 18
Cr,370 255,330,,366,413,642,391,21.0,311,293 ± 12,16,17 ± 2
Co,48.6 46.0,46.7,,40.7,42.8,45.4,44.6,0.8,44.0,44 ± 2,38.0,38 ± 2
Ni,200 138,150,,103,98,135,115,5.0,126,116 ± 7,9,13 ± 2
Cu,181 165,152,,154,179,169,161,4.0,121,127 ± 11,15,21 ± 5
Zn,177 116,104,,97,257,210,153,6.0,98,102 ± 6,136,125 ± 5
Ga,21.3 20.0,19.8,,20.5,20.3,19.4,19.0,0.5,19.9,22 ± 3,20.9,23 ± 1
Ge,1.1 1.2,1.2,,1.2,1.1,1.1,1.2,0.1,1.3,1.6 ± 0.1,1.3,1.5 ± 0.1
Fe/Mn,63.8,63.7,,63.5,63.9,64.4,63.5,,65.4,67,63.2,62
"2-stdev, relative",1.3%,0.8%,,1.3%,1.9%,1.4%,1.0%,,0.6%,,1.9%,
n,5,4,,4,5,5,6,,9,,2,
